"Week_datum","Deaths"
2013-12-29,1
2014-01-05,1
2014-01-12,5
2014-01-19,16
2014-01-26,5
2014-02-02,20
2014-02-09,1
2014-02-16,16
2014-02-23,27
2014-03-02,1
2014-03-09,59
2014-03-16,261
2014-03-23,5
2014-03-30,5
2014-04-06,21
2014-04-13,28
2014-04-20,13
2014-04-27,58
2014-05-04,158
2014-05-11,218
2014-05-18,4
2014-05-25,66
2014-06-01,6
2014-06-08,36
2014-06-15,77
2014-06-22,242
2014-06-29,143
2014-07-06,244
2014-07-13,416
2014-07-20,22
2014-07-27,136
2014-08-03,176
2014-08-10,1
2014-08-17,30
2014-08-24,351
2014-08-31,188
2014-09-07,534
2014-09-14,252
2014-09-21,7
2014-09-28,296
2014-10-05,6
2014-10-12,15
2014-10-19,5
2014-10-26,73
2014-11-02,43
2014-11-09,32
2014-11-16,3
2014-11-23,22
2014-11-30,48
2014-12-07,27
2014-12-14,10
2014-12-21,35
2014-12-28,775
2015-01-04,14
2015-01-11,56
2015-01-18,38
2015-01-25,101
2015-02-01,50
2015-02-08,337
2015-02-15,4
2015-02-22,28
2015-03-01,86
2015-03-08,62
2015-03-15,29
2015-03-22,2
2015-03-29,393
2015-04-05,62
2015-04-12,1485
2015-04-19,39
2015-04-26,61
2015-05-03,48
2015-05-10,115
2015-05-17,21
2015-05-24,200
2015-05-31,92
2015-06-07,5
2015-06-14,58
2015-06-21,25
2015-06-28,30
2015-07-05,78
2015-07-12,114
2015-07-19,57
2015-07-26,33
2015-08-02,257
2015-08-09,121
2015-08-16,67
2015-08-23,383
2015-08-30,200
2015-09-06,40
2015-09-13,109
2015-09-20,92
2015-09-27,84
2015-10-04,162
2015-10-11,105
2015-10-18,185
2015-10-25,220
2015-11-01,65
2015-11-08,38
2015-11-15,107
2015-11-22,29
2015-11-29,64
2015-12-06,114
2015-12-13,173
2015-12-20,183
2015-12-27,207
2016-01-03,104
2016-01-10,73
2016-01-17,142
2016-01-24,245
2016-01-31,46
2016-02-07,210
2016-02-14,112
2016-02-21,131
2016-02-28,66
2016-03-06,48
2016-03-13,161
2016-03-20,120
2016-03-27,212
2016-04-03,495
2016-04-10,25
2016-04-17,79
2016-04-24,143
2016-05-01,14
2016-05-08,91
2016-05-15,107
2016-05-22,899
2016-05-29,621
2016-06-05,36
2016-06-12,111
2016-06-19,84
2016-06-26,77
2016-07-03,27
2016-07-10,112
2016-07-17,116
2016-07-24,23
2016-07-31,215
2016-08-07,40
